gender,ethnicity,birth,stark,star1,star2,star3,readk,read1,read2,read3,mathk,math1,math2,math3,lunchk,lunch1,lunch2,lunch3,schoolk,school1,school2,school3,degreek,degree1,degree2,degree3,ladderk,ladder1,ladder2,ladder3,experiencek,experience1,experience2,experience3,tethnicityk,tethnicity1,tethnicity2,tethnicity3,systemk,system1,system2,system3,schoolidk,schoolid1,schoolid2,schoolid3,student_id
female,cauc,1980 Q1,small,small,small,small,447,507,568,587,473,538,579,593,non-free,free,non-free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level1,apprentice,apprentice,7,7,3,1,cauc,cauc,cauc,cauc,30,30,30,30,63,63,63,63,3b7da2
male,cauc,1980 Q2,regular,regular,regular,regular,448,651,614,641,559,584,639,684,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level3,level1,level1,16,11,31,7,cauc,cauc,cauc,cauc,35,35,35,35,69,69,69,69,a4ce42
male,cauc,1980 Q2,small,small,small,small,447,533,608,665,489,545,603,648,free,free,free,free,rural,rural,rural,rural,bachelor,master,master,bachelor,level1,level1,level1,level1,5,15,14,14,cauc,cauc,cauc,cauc,41,41,41,41,79,79,79,79,59cfe6
female,cauc,1980 Q1,regular,regular,regular,regular,451,548,596,606,500,567,587,667,non-free,free,free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,specialist,apprentice,level1,notladder,level1,3,5,18,13,afam,cauc,cauc,cauc,24,24,41,41,56,56,78,78,93b5b9
female,afam,1980 Q3,small,small,small,small,478,514,569,606,439,461,584,596,non-free,non-free,free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level1,level1,level1,11,31,14,14,cauc,cauc,cauc,cauc,8,8,8,8,11,11,11,11,a13fd8
female,cauc,1980 Q3,small,small,small,small,455,530,608,654,528,507,546,606,non-free,free,non-free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level1,apprentice,notladder,10,4,1,24,cauc,cauc,cauc,cauc,32,32,32,32,66,66,66,66,5bd5be
male,cauc,1980 Q1,regular,regular,regular,regular,430,490,622,633,473,567,615,645,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,bachelor,bachelor,level1,level1,level3,level1,13,19,14,3,cauc,cauc,cauc,cauc,14,14,14,14,38,38,38,38,1f61ca
male,cauc,1980 Q3,regular+aide,regular+aide,regular+aide,regular+aide,437,503,552,578,468,512,574,554,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,bachelor,bachelor,bachelor,level1,level3,level1,level3,6,16,8,12,cauc,cauc,cauc,cauc,35,35,35,35,69,69,69,69,4a63a5
male,cauc,1980 Q1,small,small,small,small,474,629,659,728,559,584,632,684,non-free,free,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,master,bachelor,bachelor,probation,notladder,level1,level1,0,16,10,6,cauc,cauc,cauc,cauc,18,18,18,18,43,43,43,43,e68e7f
male,cauc,1979 Q3,regular+aide,regular+aide,regular,regular,490,571,586,631,528,572,561,589,non-free,non-free,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,master,bachelor,bachelor,level1,level1,level1,notladder,18,13,9,15,cauc,cauc,cauc,afam,22,22,22,22,52,52,52,52,2140a4
female,cauc,1980 Q2,small,small,small,small,422,544,643,647,478,502,568,610,non-free,non-free,non-free,non-free,rural,rural,rural,rural,master,master,bachelor,bachelor,level1,level1,level1,apprentice,8,14,6,2,cauc,cauc,cauc,cauc,40,40,40,40,76,77,77,77,2ccab8
male,cauc,1979 Q4,regular,small,small,small,424,501,577,622,559,545,593,691,free,non-free,free,non-free,rural,rural,rural,rural,bachelor,master,bachelor,master,level1,level1,level1,level1,13,16,18,12,cauc,cauc,cauc,cauc,41,41,41,41,79,79,79,79,6433fc
male,cauc,1980 Q1,small,small,small,small,456,492,549,580,602,515,587,614,free,non-free,non-free,free,urban,urban,urban,urban,master,bachelor,master,bachelor,level1,level1,level1,level1,14,5,9,13,cauc,cauc,afam,cauc,26,26,26,26,59,59,59,59,385b32
male,afam,1980 Q2,regular+aide,regular,regular+aide,regular,463,478,582,622,576,567,611,642,free,free,free,free,inner-city,inner-city,inner-city,inner-city,bachelor,bachelor,bachelor,master,level1,probation,level1,level3,10,5,35,14,afam,cauc,afam,cauc,11,11,11,11,27,27,27,27,9b6a09
